순번,시군명,명칭,구분,도로명주소,전화번호,소개,자료출처,공개여부,작성일,갱신주기(년)
1,전주시,전동성당,전주시1,전주시 완산구 태조로 51,063-284-3222,"천주교 최초 순교자 터, 국내에서 가장 아름다운 성당으로 이름 난 곳",관광총괄과,Y,2015-10-01,1
2,전주시,경기전,전주시2,전주시 완산구 태조로 44,063-281-2790,"조선 왕조의 발상지이자 태조의 본향, 태조 이성계의 어진을 봉안한 경기전",관광총괄과,Y,2015-10-01,1
3,전주시,오목대,전주시3,전주시 완산구 기린대로 55,,한옥마을을 가장 잘 담을 수 있는 포토 존,관광총괄과,Y,2015-10-01,1
4,전주시,최명희문학관,전주시4,전주시 완산구 최명희길 29,063-284-0570,혼불의 저자 최명희씨의 문학관,관광총괄과,Y,2015-10-01,1
5,전주시,전주시향교,전주시5,전주시 완산구 향교로 165,063-288-4544,조선시대 유학의 기틀을 마련한 선비들의 자취 고스란히 묻은 곳,관광총괄과,Y,2015-10-01,1
6,전주시,전주시전통문화관,전주시6,전주시 완산구 전주천동로 20,063-280-7000,다양한 공연과 이색 전통체험,관광총괄과,Y,2015-10-01,1
7,전주시,풍남문,전주시7,전주시 완산구 풍남문3길 1,,보물 제 308호,관광총괄과,Y,2015-10-01,1
8,전주시,남부시장(청년몰),전주시8,전주시 완산구 풍남문2길 53,,"콩나물국밥, 순대국밥, 청년들이 운영하는 문화놀이터",관광총괄과,Y,2015-10-01,1
9,전주시,덕진공원,전주시9,전주시 덕진구 권삼득로 390,063-239-2607,"야경과 음악분수, 연꽃으로 데이트 명소로 유명",관광총괄과,Y,2015-10-01,1
10,전주시,전주시동물원,전주시10,전주시 덕진구 소리로 68,063-281-6759,106종 670여 마리 다양한 동물을 만날 수 있는 지방유일의 동물원,관광총괄과,Y,2015-10-01,1
11,군산시,(구)군산시세관,군산시1,군산시 해망로 244-7,063-440-5500,대한제국시절 건축된 국내 단 하나 뿐인 세관,관광총괄과,Y,2015-10-01,1
12,군산시,군산시근대역사박물관,군산시2,군산시 해망로 240,063-443-8283,일제강점기 시대의 아픔을 기억하고자 세워진 문화교육의 장,관광총괄과,Y,2015-10-01,1
13,군산시,동국사,군산시3,군산시 동국사길 16,063-454-3337,우리나라 유일의 일본식 사찰,관광총괄과,Y,2015-10-01,1
14,군산시,경암동철길마을,군산시4,군산시 경촌4길 14,,판잣집 사이로 철길이 흐르는 곳,관광총괄과,Y,2015-10-01,1
15,군산시,대각산,군산시5,군산시 신시도길 232-2,,등산코스(3시간50분소요),관광총괄과,Y,2015-10-01,1
16,군산시,새만금방조제,군산시6,군산시 옥도면 새만금로 462,063-584-6822,기네스북에 등재된 세계 최장길이 방조제,관광총괄과,Y,2015-10-01,1
17,군산시,고군산시군도,군산시7,군산시 옥도면 장자도2길 55-10,063-450-6110,선유도와 60여개의 섬들이 절경을 이루는 곳,관광총괄과,Y,2015-10-01,1
18,군산시,월명공원,군산시8,군산시 월명공원1길 26-3,063-454-2985,도심 한복판 힐링지,관광총괄과,Y,2015-10-01,1
19,군산시,은파호수공원,군산시9,군산시 은파순환길 9,063-453-4985,우아한 빛을 발하는 호수 위로 물빛다리 뻗어있는 도심 속 휴식처,관광총괄과,Y,2015-10-01,1
20,군산시,진포해양공원,군산시10,군산시 내항2길 32,063-445-4472,진포대첩을 기념하고자 조성된 공원,관광총괄과,Y,2015-10-01,1
21,익산시,익산보석박물관,익산1,익산시 왕궁면 호반로 8,063-859-4641,백제의 금속문화 계승해 수준 높은 보석 가공 기술로 세계적 명성 이룩함,관광총괄과,Y,2015-10-01,1
22,익산시,주얼팰리스,익산2,익산시 왕궁면 호반로 8,063-834-5100,동양 최대의 보석&귀금속 전문 판매 센터,관광총괄과,Y,2015-10-01,1
23,익산시,왕궁리유적,익산3,익산시 왕궁면 궁성로 674,063-859-4631,백제 무왕의 왕궁으로 건립되어 경영되다 후대에 사찰로 변모한 유적지,관광총괄과,Y,2015-10-01,1
24,익산시,왕궁리5층석탑,익산4,익산시 왕궁면 궁성로 674,063-859-5778,국보 제 289호,관광총괄과,Y,2015-10-01,1
25,익산시,왕궁리유적적시관,익산5,익산시 왕궁면 궁성로 666,063-859-4631,왕궁리 유적의 역사와 유물 담아낸 교육의 장,관광총괄과,Y,2015-10-01,1
26,익산시,서동공원,익산6,익산시 금마면 고도9길 41-14,063-859-4633,금마저수지 끼고 탁 트인 경관이 발길을 사로잡는 조각공원,관광총괄과,Y,2015-10-01,1
27,정읍시,내장산,정읍시1,정읍시 내장산로 936,063-538-7875,667m 길의 내장산 케이블카와 전망대,관광총괄과,Y,2015-10-01,1
28,정읍시,정읍시사공원,정읍시2,정읍시 정읍사로 541,063-539-5771,정읍시사를 새겨놓은 공원,관광총괄과,Y,2015-10-01,1
29,정읍시,옥정호,정읍시3,정읍시 산내면 태산로 1262-16,063-530-7743,"아침 안개가 멋진 곳, 산책코스의 최고봉",관광총괄과,Y,2015-10-01,1
30,정읍시,산외한우마을,정읍시4,정읍시 산외면 산외로 446,063-537-7876,최상품 신선 한우를 저렴한 가격에 먹을수 있는 한우특화명소,관광총괄과,Y,2015-10-01,1
31,정읍시,동학농민혁명100주년기념탑,정읍시5,정읍시 내장산로 612-32,063-536-6776,"1996년에 건립한 탑주탑의 높이는 1,894cm로 동학농민혁명이 일어난 해를 상징",관광총괄과,Y,2015-10-01,1
32,정읍시,황토현전적지,정읍시6,정읍시 덕천면 동학로 742,063-536-1894,동학농민군이 관군과 싸워 이긴 첫 싸움터,관광총괄과,Y,2015-10-01,1
33,정읍시,구파백정기의사기념관,정읍시7,정읍시 영원면 영원로 1049,063-539-5234,정읍시이 낳은 독립운동가 구파 백정기의사의 뜻을 새긴 곳,관광총괄과,Y,2015-10-01,1
34,정읍시,말목장터,정읍시8,정읍시 이평면 말목장터로 518,,동학농민군의 집결지,관광총괄과,Y,2015-10-01,1
35,정읍시,고부관아터,정읍시9,정읍시 고부면 교동3길 14,,동학농민혁명의 시발점,관광총괄과,Y,2015-10-01,1
36,고창군,고창 동학농민혁명발상지,고창10,고창군 공음면 구수안길 21-4,,동학농민혁명 제1차 봉기 장소,관광총괄과,Y,2015-10-01,1
37,남원시,남원시광한루원,남원시1,남원시 요천로 1447,063-625-4861,춘향과 이도령이 인연을 맺은 장소로 더 사랑받는 곳,관광총괄과,Y,2015-10-01,1
38,남원시,남원시향토박물관,남원시2,남원시 양림길 14-9,063-620-6792,향토역사 자원의 체계적 연구를 위해 설립한 역사교육의 산실,관광총괄과,Y,2015-10-01,1
39,남원시,송월교,남원시3,남원시 소리길 25,,광섬유로 만든 무지개 분수터널,관광총괄과,Y,2015-10-01,1
40,남원시,남원시춘향테마파크,남원시4,남원시 양림길 14-9,063-620-6836,춘향과 이도령의 사랑의 공원,관광총괄과,Y,2015-10-01,1
41,남원시,만복사지,남원시5,남원시 만복사길 7,063-620-6165,고려 문종 때 지어진 만복사 터,관광총괄과,Y,2015-10-01,1
42,남원시,서도역,남원시6,남원시 사매면 서도길 30,063-620-6788,국내 가장 오래된 목조 간이역,관광총괄과,Y,2015-10-01,1
43,남원시,혼불문학관,남원시7,남원시 사매면 노봉안길 52,063-620-6788,최명희 대하소설 혼불의 배경,관광총괄과,Y,2015-10-01,1
44,남원시,국악의성지,남원시8,남원시 운봉읍 비전길 69,063-620-6905,전통과 세계화를 위해 마련한 공간,관광총괄과,Y,2015-10-01,1
45,남원시,지리산둘레길,남원시9,남원시 시청로 60,063-635-0850,-,관광총괄과,Y,2015-10-01,1
